Export;EXP-2023-01 (20230707 04:39);;;StationsCode;NL01483;NL01485;NL01486;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL01908;NL10107;NL10131;NL10133;NL10136;NL10137;NL10138;NL10227;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10245;NL10246;NL10247;NL10301;NL10318;NL10404;NL10411;NL10418;NL10433;NL10437;NL10442;NL10444;NL10445;NL10446;NL10520;NL10537;NL10538;NL10547;NL10548;NL10549;NL10631;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938;NL49002;NL49003;NL49007;NL49012;NL49014;NL49017;NL49019;NL49020;NL49021;NL49022;NL49546;NL49551;NL49553;NL49561;NL49564;NL49565;NL49701;NL49703;NL49704;NL53001;NL53004;NL53015;NL53016
NO2;uur;µg/m³;20130114 16:00;20130114 17:00;74.3;48;52.1;75.9;52.8;90.7;;64.7;55.6;51.5;56.3;;25.98;32.9;33.14;51.68;39.1;;;42.91;47.47;53.2;51.32;66.48;47.02;46.39;50.75;39.94;45.74;50.76;;;55.18;51.55;48.31;48;46.48;61.78;57.49;;54.24;39.71;45.73;;40.14;22.43;42.25;55.47;54.14;43.56;48.05;43.24;19.3;32.13;38.27;30.45;25.53;33.21;24.27;21.06;18.15;;22.71;75;43;76;54;42;50;48;59;35;45;61;45;73.5;83.6;85.2;47;49;46;48;60.6;;;
NO2;uur;µg/m³;20130114 17:00;20130114 18:00;80;55.7;56.1;76.4;54.3;86.3;;72.3;57.5;56.4;50.7;;29.72;35.87;44.2;67.05;47.23;;;48.21;53.01;55.19;52.28;71.07;53.19;48.18;50.89;45.99;51.09;56.41;54.28;;56.04;59.64;50.59;51.11;47.83;61.57;61.21;;49.41;46.68;55.94;;47.96;36.83;48.13;61.36;54.23;48.86;51.96;46.39;18.05;32.62;51.04;40.09;29.46;34.41;34.69;24.18;22.32;55.08;35.99;75;50;72;65;46;56;57;58;46;49;52;48;92.3;89.3;96.9;48;52;47;51;69.4;;;
NO2;uur;µg/m³;20130114 18:00;20130114 19:00;69.8;52;52.4;78.8;53;81.6;;64.2;54.9;55.5;55.3;;33.92;27.49;40.12;53.82;53.15;;;38;52.52;55.72;41.88;66.58;52.15;51;52.64;43.33;51.2;52.79;57.02;;54.66;57.41;50.89;53.54;52.21;64.43;60.77;;50.87;51.28;53.16;;49;36.51;50.58;58.71;55.19;51.25;52.54;47.7;18.22;37.78;47.82;46.56;29.89;34.48;36.89;28.07;29.93;72.38;27.47;78;52;70;64;50;60;55;60;43;52;60;48;102.5;99.4;95.8;51;57;47;54;68.5;;;
NO2;uur;µg/m³;20130114 19:00;20130114 20:00;;;;;;;;;;;;;45.23;29.32;34.04;43.45;41.32;;;41.21;52.28;58.27;47.73;51.12;47.41;49.21;51.38;46.46;37.06;39.72;57.47;;55.81;57.48;49.77;50.11;52.18;61.09;58.56;;52.76;48.42;51.1;;46.96;32.53;50.81;54.1;49.94;51.45;50.43;44.65;22.14;43.95;42.05;41.55;28.79;41.98;41.16;38.19;27.6;55.14;32.8;65;52;66;62;52;57;57;60;44;54;63;51;84.6;90.1;80.5;53;58;50;55;66.7;;;
NO2;uur;µg/m³;20130114 20:00;20130114 21:00;57.3;51;50.5;57.6;50;57.7;;58.7;53.2;55.8;56.6;;45.45;41.59;25.39;35.33;31.77;;;40.03;45.88;56.04;47.45;47.32;46.19;48.53;47.17;44.14;40.46;32.7;59.55;;51.77;57.24;47.9;44.74;51.27;60.42;58.24;;51.99;51.23;49.98;;46.7;39.81;46;46.74;48.71;48.61;45.06;39.47;22.85;40.81;36.12;34.86;27.66;40.62;38;41.06;25.14;57.26;32.68;62;50;64;58;53;54;54;60;43;55;67;52;80.5;73.9;71.3;52;59;51;56;63.2;;;
NO2;uur;µg/m³;20130114 21:00;20130114 22:00;51.7;43.8;48;53.1;46.3;54.5;;49;52.5;54.1;51.9;;45.88;53.61;20.32;26.76;25.63;;;39.14;33.1;55.8;47.92;44.79;46.23;43.01;41.39;48.16;40.51;24.43;55.27;;46.05;54.22;41.33;42.28;44.05;55.41;57.65;;55.37;42.69;43.56;;43.68;40.78;45.83;37.93;41.52;40;37.34;38.94;29.2;34.72;38.18;37.54;24.59;30.75;40.41;38.13;34.92;49.13;35.87;58;47;58;51;49;48;48;53;38;52;52;50;63.8;72.9;75.9;51;52;49;53;42.7;;;
NO2;uur;µg/m³;20130114 22:00;20130114 23:00;39.2;37.4;41.4;45.2;40.5;40;;49.8;47.3;39.4;49.4;;37.31;49.97;14.01;18.54;17.12;;;39.48;23.12;54.51;43.26;39;37.19;36.17;32.19;41.58;30.49;13.97;48.68;;41.48;50.06;36.44;33.02;39.98;44.92;44.65;;50.57;38.65;37.39;;36.66;34.43;39.42;39.05;39.84;32.9;37.53;37.24;33.02;33.79;37.27;35.23;29.56;25.93;40.71;36.97;29.29;45.72;31.37;49;40;50;47;41;40;42;45;32;43;50;47;57.7;;58.2;43;47;43;44;29;;;
NO2;uur;µg/m³;20130114 23:00;20130115 00:00;31.8;27.9;34.2;35.7;30.4;27.7;;38.7;38.7;33.8;34.8;;26.66;45.7;11.17;14.01;12.55;;;36.35;17.99;49.98;34.83;35.59;37.28;28.52;27.18;32.12;29.57;14.37;47.94;;30.44;45.4;26.03;;35.89;46.39;38.07;;38.66;31.97;37.26;;35.67;29.24;36.16;37.82;38.53;31.35;37.98;39.67;40.43;36.13;34.47;32.94;33.94;29.56;30.87;38.01;24.88;38.36;29.99;42;33;42;40;38;34;41;41;28;37;38;33;40.1;49.7;44.1;42;38;34;41;21.2;;;
NO2;uur;µg/m³;20130115 00:00;20130115 01:00;30;25.3;34.3;32.9;31.7;27.3;;36.8;34.1;33.9;38.7;;23.27;42.85;11.66;15.51;14.98;;;16.05;;35.27;22.58;17.36;17.68;21.46;17.7;16.33;13.03;21.11;40.29;;34.22;43.26;24.53;23.53;31.84;38.11;33.87;;31.04;17.21;37.28;;32.13;29.98;36.76;37.18;36.91;33.55;34.78;31.15;43.43;28.87;33.96;33.65;38.88;33.67;27.54;37.22;25.22;;33.23;43;36;43;42;;38;43;42;33;35;43;32;40.1;39.6;39.1;39;37;31;40;16.6;;;
NO2;uur;µg/m³;20130115 01:00;20130115 02:00;23.2;21.9;31.1;25.3;25.2;19.9;;27.1;26.7;34.4;36.3;;19.99;36.86;12.94;17.36;15.35;;;11.12;;32.79;16.68;13.97;12.33;14.98;12.54;13.02;11.56;21.48;36.06;;24.05;38.66;17.71;15.95;30.28;32.71;30.17;;30.56;21.36;32.24;;28.78;25.59;30.09;30.67;30.23;27.55;29.07;23.93;44.33;39.89;47.63;48.63;43.21;37.93;30.1;36.09;28.86;;33.94;42;33;44;41;37;37;41;41;29;34;44;31;43.1;36.5;36.5;36;36;32;43;13.7;;;
NO2;uur;µg/m³;20130115 02:00;20130115 03:00;19.5;19.2;21.2;18.9;18.5;14.7;;19.6;19.7;24.4;30.7;;16.7;35.31;15.07;16.72;15.98;;;11.9;9.04;36.08;21.05;12.55;11.77;11.55;10.16;17.54;15.47;17.23;30.51;;18.54;31.67;13.74;12.57;27.82;26.19;22.48;;24.81;19.39;29.44;;29.04;37.53;21.89;23.39;22.47;20.66;23.51;17.77;43.62;47.29;51.47;52.29;43.28;41;35.3;35.14;30.49;;33.28;33;;31;33;29;28;33;32;23;26;34;33;39.1;30.1;29.5;30;30;;;16.2;;;
NO2;uur;µg/m³;20130115 03:00;20130115 04:00;17.3;17.2;22.5;18.2;17.5;15.5;;19.3;18.6;23.6;33.9;;16.72;41.1;14.46;16.69;16.81;;;14.87;10.13;32.19;19.62;13.38;11.34;10.5;10.09;18.86;15.29;15.75;27.62;;16.89;36.8;12.22;13.21;18.18;21.73;17.7;;20.28;19.42;36.48;;38.68;46.38;25.76;33.12;32.66;27.69;35.52;20.92;40.45;45.86;43.95;45.43;42.92;41.94;41.43;36.72;31.71;;26.98;33;;34;28;28;28;34;33;25;26;30;28;31.6;26.5;26.5;22;26;23;38;19.3;;;
NO2;uur;µg/m³;20130115 04:00;20130115 05:00;27.7;19.7;23.8;25.8;23.4;22.9;;27.3;21.5;32.1;39;;21.69;36.3;12.09;17.28;16.58;;;13.93;11.16;30.36;18.22;16.68;13.86;15.3;11.55;19.56;19.73;17.76;28.85;;22.14;36.08;15.27;19.19;22.04;25.13;22.24;;27.94;27.48;43.58;;42.83;46.77;35.41;43.55;40.78;35.84;46.69;33.37;33.48;38.65;33.9;36.33;43.18;42.76;38.99;37.4;32.08;;29.85;37;;43;33;36;37;37;40;31;33;33;29;36.1;35.1;28;29;29;31;34;20.4;;;
NO2;uur;µg/m³;20130115 05:00;20130115 06:00;36.1;23.9;36.7;32.5;27.7;28.2;;32.5;28.8;35.9;41.7;;27.03;38.22;15;31.43;22.31;;;13.69;11.66;41.58;26.57;25.76;15.13;26.56;13.39;23.64;17.28;23.12;32.57;;28;42.28;19.71;21.09;30.14;34.65;36.89;;35.7;38.26;43.19;;38.15;44.66;39.82;43.9;40.4;38.64;44.52;34.16;27.03;34.95;37.34;36.16;42.04;42.18;39.94;37.55;29.42;;33.4;46;;54;38;38;36;40;44;30;35;42;38;41.6;54.7;35.5;36;46;41;41;21;;;
NO2;uur;µg/m³;20130115 06:00;20130115 07:00;45.3;41.7;43.6;43.3;36.2;34.3;;45.2;40.8;35.3;53.5;;32.3;40.62;23.07;37.18;29.39;;;26.22;13.19;51.62;43.33;38.78;24.25;32.37;23.41;36.37;18.1;30.7;37.75;;37.41;41.74;28.33;32.32;35.09;43.41;38.08;;54.02;34.55;48.51;;37.14;40.48;41.49;42.75;48.51;36.86;43.81;36.08;24.45;36.79;49.9;44.34;36.56;39;40.83;39.73;31.52;;36.72;50;;65;50;48;47;50;52;39;48;47;46;52.2;;46.6;38;46;49;46;23;;;
NO2;uur;µg/m³;20130115 07:00;20130115 08:00;49.3;49.6;45;45.6;43.1;40.7;;45.8;49;40.3;60.1;;33.83;43.43;25.6;44.57;35.74;;;42.67;20.08;55.96;51.7;45.24;36;38.72;41.19;48.49;19.22;21.51;47.31;;44.28;47.77;40.75;41.35;44.79;52.22;46.28;;52.66;33.33;51.84;;42.56;41.81;39.4;42.08;58.93;38.76;42.51;42.15;22.63;39.62;57.87;42.61;35.47;39.21;41.31;39.76;34.58;;40.26;46;;62;51;48;48;48;49;43;49;42;44;45.6;78.5;61.2;51;40;46;39;26.8;;;
NO2;uur;µg/m³;20130115 08:00;20130115 09:00;47.3;50.8;49.2;46;44.7;42.8;;53.8;53.9;47.9;57;;34.54;45.08;24.44;51.99;40.57;;;42.32;25.09;60.27;58.44;46.37;42.64;41.29;43.91;48.93;31.52;48.04;46.24;;47.4;48.89;45.04;45.36;44.58;50.76;45.54;;60.11;37.92;52.5;;40.23;39.45;42.55;45.3;56.82;41.51;46.3;43.93;31.74;33.66;63.62;47.1;33.38;40.22;38.94;39.86;35.48;;40.04;53;;64;55;45;50;48;56;38;46;40;45;48.2;78;67.9;48;42;44;39;33.1;;;
NO2;uur;µg/m³;20130115 09:00;20130115 10:00;50.5;47.8;47.2;45;44.8;40;;49.3;55.4;45.3;54.1;;30.48;38.08;24.41;45.1;37.24;;;38.29;28.01;58.41;55.9;46.65;41.14;37;37.68;47.33;40.9;39.1;44.57;;47.32;49.42;39.5;48.36;38.36;50.53;41.8;;56.32;29.8;48.65;;36.03;33.48;33.1;38.68;54.02;33.37;39.94;38.03;28.07;30.01;61.19;43.21;30.93;36.56;32.67;35.86;32;;35.74;56;;62;58;42;51;42;50;36;42;40;43;59.9;79.6;60.9;43;38;38;37;33.5;;;
NO2;uur;µg/m³;20130115 10:00;20130115 11:00;54.4;46;45.3;45.2;42;37.5;;47.5;49.5;39.9;49.5;;27.49;31.77;22.59;40.98;32.53;;;31.95;36.25;62.76;53.28;47.55;36.01;37.84;36.28;45.18;33.15;35.11;37.27;;44.56;42.95;35.96;38.89;31.98;48.12;36.39;;47.7;24.12;45.5;;27.48;27.46;27.69;33.02;41.08;27.61;35.3;35.21;24.88;26.76;52.97;30.05;28.18;30.78;27.65;30.79;27.71;;32.02;42;;65;41;36;40;36;40;30;32;37;35;45.3;74.1;67.6;37;35;36;31;47.6;;;
NO2;uur;µg/m³;20130115 11:00;20130115 12:00;49.6;47.5;40.7;39.6;38.2;34.2;;56.4;48.2;52.1;38.2;;28.73;31.73;22.84;46.06;35;;;29.77;37.54;56.34;48.92;40.9;35;33.16;35.65;41.71;30.27;40.11;37.27;;39.82;51.14;34.23;33.57;29.91;55.99;43.47;;43.97;19.74;42.5;;26.3;29.15;24.35;29.64;39.86;23.89;28.87;30.6;24.5;25.56;47.84;38.48;26.4;28.34;23.78;29.92;27.09;;26.71;42;;73;40;33;39;34;40;27;31;31;30;46.9;66.6;47.9;;32;27;25;43.7;;;
NO2;uur;µg/m³;20130115 12:00;20130115 13:00;41.2;42.9;41.9;41;39.9;34.1;;50.8;43.7;41.1;38.8;;28.95;36.41;35.27;48.22;39.27;;;37.3;37.34;57.45;51.8;41.31;35.63;32.06;33.33;40.69;35.41;31.04;35.77;;44.33;41.9;37.2;33.26;21.02;48.32;37.71;;48.43;20.12;33.47;;26.34;28.42;23.97;30.57;36.81;23.65;30.95;29.24;26.39;24.02;51.28;40.98;27.94;24.53;25.13;27.72;26.71;;25.36;40;;73;36;35;42;36;42;26;29;27;34;36.8;56.4;47.9;32;32;26;26;43.9;;;
NO2;uur;µg/m³;20130115 13:00;20130115 14:00;37.8;44.9;37;36.7;33.2;28.9;;33;48;40.2;34.8;;32.28;30.6;41.3;47.91;40.56;;;56.52;38.67;59.77;49.01;39.31;35.68;39.46;33.82;42.73;38.67;30.44;34.72;;40.28;38.34;34.09;40.47;23.01;41.23;35.98;;48.05;23.93;40.39;;31.82;28.45;25.97;31.66;39.93;25.63;31.95;29.94;28.31;32;53.7;41.7;30.22;23.85;29.42;33.48;29.11;;26.31;43;;84;35;;44;37;40;31;35;32;28;31.2;72.6;65.6;38;;28;26;47.8;;;
NO2;uur;µg/m³;20130115 14:00;20130115 15:00;41.9;49.9;43;36.7;34.3;25.6;;35.1;49.9;40.8;30.7;;40.62;28.33;40.59;47.93;38.94;;;42.79;37.24;58.7;53.83;39.97;36.83;37.24;33.13;44.26;36.32;40.55;33.42;;39.12;56.91;34.85;32.63;22.61;46.87;40.01;;46.43;24.97;39.3;;31.16;30.29;28.05;36.98;44.47;30.4;36.65;27.88;36.62;30.68;48.01;43.79;31.47;24.57;29.07;34.18;30.57;;29.75;42;;92;38;;54;40;41;28;35;31;35;29.6;81.7;60;40;;28;27;43.9;;;
NO2;uur;µg/m³;20130115 15:00;20130115 16:00;48.7;54;47.5;44.9;42;31.9;;54.1;51.2;47.5;31.1;;45.7;31.08;39.9;51.81;43.55;;;50.37;40.06;61.78;56.54;41.78;38.03;37.32;33.91;45.19;35.57;41.31;35;;48.78;57.66;41.45;36.69;24.01;49.6;39.58;;51.66;25.25;43.18;;33.84;25.12;29.87;39.19;49.13;32.26;41.58;32.26;40.41;33.2;;43.98;31.68;29.54;28.96;39.63;29.45;;27.94;46;;88;42;38;52;41;48;26;40;36;43;34.6;97.9;50.8;42;;34;29;47.5;;;
NO2;uur;µg/m³;20130115 16:00;20130115 17:00;50.1;55.3;49.1;47.6;46.4;38.7;;52.5;57.1;64.5;37.5;;52.02;36.38;45.54;53.99;46.19;;;44.59;43.65;63.52;62.68;47.09;41.53;44.86;39.31;48.64;42.53;40.38;36.23;;53.06;61.49;45.15;42.83;27.36;44.49;52.8;;58.73;28.45;36.73;;32.28;32.58;27.77;39.57;51.89;28.74;44.12;37.85;42.39;36.72;63.95;48.19;36.03;34.56;31.27;41.22;28.15;;29.2;45;;92;48;43;55;47;47;25;47;45;40;30.1;90.7;67.3;50;;42;39;55.5;;;
NO2;uur;µg/m³;20130115 17:00;20130115 18:00;54.4;59.9;55.5;57.8;55.6;32.5;;66.2;57.9;69.9;39.7;;54.08;42.79;52.28;54.14;49.8;;;47.2;42.32;62.69;85.03;49.03;49.59;51.36;47.87;50.14;49.84;46.41;46.21;;62.09;56.98;51.17;42.34;30.72;50.72;65.79;;64.99;12.18;36.99;;26.75;39.41;26.19;36.14;47.36;25.98;39.68;29.44;44.61;41.6;66.63;51.67;40.61;35.5;30.64;44.1;26.03;;32.35;57;;77;56;54;58;54;60;26;54;47;44;30.5;93.1;69.2;55;;44;43;54.9;;;
NO2;uur;µg/m³;20130115 18:00;20130115 19:00;59.8;60.8;60;62;59.6;31.1;;67.5;62.3;74.7;42.4;;50.64;44;53.09;59.84;54.66;;;51.26;41.65;59.14;59.41;52.51;50.12;32.69;30.51;50.1;42.2;44.32;45.9;;64.98;63.53;45.66;32.01;38.44;54.12;62.74;;59.49;9.13;38.39;;31.12;39.07;32.94;38.61;35.87;26.88;39.16;27.43;45.14;37.24;60.62;52.04;43.77;39.7;26.75;42.35;26.01;;31.65;58;;80;52;52;56;52;;35;52;45;45;28.5;91.1;63.1;57;;37;37;51.5;;;
NO2;uur;µg/m³;20130115 19:00;20130115 20:00;57.4;62.2;57.9;60.6;59.1;36.6;;69.7;57.3;77.7;56.9;;49.3;43.98;50.52;54.43;50.75;;;65.72;27.06;59.62;52.67;40.81;32.94;26.55;24.6;51.28;46.02;37.19;46.13;;60.79;63.09;48.91;29.05;30.79;51.75;59.16;;54.28;11.6;40.5;;36.1;40.4;44.48;48.06;43.53;33.44;51.03;25.05;46.07;31.41;56.26;49.38;43.43;41.14;27.81;38.03;27.19;;33.92;60;;69;49;56;56;51;56;28;49;36;46;22.5;79;48.1;61;;37;33;40.9;;;
NO2;uur;µg/m³;20130115 20:00;20130115 21:00;54.9;57.6;55.5;54.4;56.8;56.4;;67.1;58.6;77.6;56.2;;47.93;44.37;50.58;52.74;49.6;;;64.85;22.01;59.12;52.47;31.05;30.03;28.6;33.19;51.09;41.81;36.97;44.49;;59.76;59.47;59.03;42.84;27.2;51.82;60.45;;47.01;9.66;43.75;;38.61;34.23;45.46;43.8;47.41;39.21;45.98;29.76;45.93;42.4;54.42;45.8;42.94;39.49;31.95;37.5;26.69;;32.16;52;;72;47;49;47;42;55;20;48;32;50;19.5;74.4;49.1;53;;39;30;29;;;
NO2;uur;µg/m³;20130115 21:00;20130115 22:00;53.3;58.5;58.8;51.2;51.7;54.7;;70.7;61.9;88.3;55.9;;48.11;40.39;49.65;51.91;48.85;;;46.77;24.81;56.26;49.7;30.74;30.53;47.7;54.61;51.89;48.51;37.23;42.47;;59.39;60.36;57.09;49.17;22.39;45.24;59.38;;41.9;8.72;49.04;;36.99;33.76;44.19;45.32;49.75;35.31;47.86;36.92;44.6;40.78;51.19;49.29;43.62;38.08;30.28;40.28;26.35;;27.83;53;;64;40;43;40;34;55;13;44;30;47;21.5;65.3;49.1;50;;30;23;30.4;;;
NO2;uur;µg/m³;20130115 22:00;20130115 23:00;53.5;57;62.4;54.4;53;50.4;;64.1;64.8;95.7;53.5;;48.64;41.43;49.33;51.17;48.62;;;39.67;48.22;55.16;47.98;35.03;33.23;53.59;55.55;46.6;46.28;40.65;31.41;;60.99;56.95;58.7;52.76;24.3;36.76;48.19;;50.26;7.98;38.48;;30.86;29.14;32.07;47.35;45.42;25.55;47.17;33.73;43.93;41.05;53.47;51.53;43.2;32.95;28.28;39.56;22.61;;27.55;57;;63;45;49;39;40;52;20;46;28;;;63.8;;40;;26;28;54.3;;;
NO2;uur;µg/m³;20130115 23:00;20130116 00:00;49.1;55.1;56.2;44.8;47.5;46.8;;64.5;58.3;75.1;48.1;;47.45;33.83;49.23;51.91;49.49;;;38.97;52.2;49.9;42.99;39.83;38.92;55.82;56.17;42.57;53.14;38.31;30.16;;54.84;56.14;57.32;57.07;24.81;32.13;45.31;;48.63;10.19;39.08;;28.05;25.49;28.22;40.24;45.84;17.51;40.78;29.37;43.44;40.26;54.94;50.72;41.36;34.65;27.31;38.24;21.76;;27.94;55;;64;41;51;46;41;51;18;46;23;30;16;67.8;40.1;57;;32;30;60.9;;;
NO2;uur;µg/m³;20130116 00:00;20130116 01:00;46.6;58.2;54.7;43.1;44.4;47.2;;68.2;55.6;80.4;78.9;;44.43;47.68;46.07;47.44;45.11;;;43.66;51.34;54.32;45.79;37.84;31.31;52.1;50.9;40.3;39.91;42.06;29.81;;51.43;49.78;52.63;52.12;23.12;32.44;48.55;;46.68;13.44;28.62;;21.62;23.9;27.54;26.37;34.91;19.4;27.93;18.16;39.85;37.28;50.36;47.81;39.1;34.43;25.72;;18.31;;22.38;56;;65;41;43;52;44;55;22;48;28;28;20.5;95.3;65.4;58;;29;32;56.3;;;
NO2;uur;µg/m³;20130116 01:00;20130116 02:00;44.3;57;54.5;51.7;48.1;49.5;;65.3;62.1;83.9;70.6;;44.14;47.12;44.43;45.45;44.33;;;42.71;49.37;50.43;41.31;32.07;25.41;49.07;41.62;39.71;42.96;47.25;40.91;;52.19;50.29;52.17;41.57;21.89;49.82;55.8;;48.74;17.21;32.43;;22.01;24.17;29.23;23.98;27.59;21.63;27.15;14.03;38.5;36.68;46.56;45.86;37.21;28.11;21.05;33.62;15.14;;22.85;70;47;69;42;46;;39;61;27;45;32;30;23.5;98.4;46.2;65;;33;35;56.4;;;
NO2;uur;µg/m³;20130116 02:00;20130116 03:00;50.8;54;53.1;52.2;44.4;51.6;;64.1;67.7;82.3;139.3;;44.74;46.04;42.22;44.9;44.5;;;50.39;48.05;51.73;42.5;37.78;29.97;47.56;42.5;41.15;45.01;32.16;44.46;;53.32;52.17;50.18;44.43;23.79;48.89;53.69;;50.6;11.42;34.61;;26.04;25.72;51.31;20.39;29.91;49.9;25.58;16.46;36.9;34.33;45.76;44.3;35;27.73;18.43;32.49;14.82;;27.69;58;45;64;47;48;;48;54;25;45;39;38;17;96.9;51.8;59;;32;42;56.9;;;
NO2;uur;µg/m³;20130116 03:00;20130116 04:00;56.9;53.5;50;63.9;56.8;52.5;;75.9;62.4;96.8;142.4;;45.89;44.13;39.54;43.45;42.88;;;41.09;40.76;50.85;43.71;46.46;38.57;49.67;50.35;42.85;48.06;24.9;52.41;;58.06;51.23;48.29;51.21;23.5;59.29;57.57;;50.46;8.48;39.79;;28.59;24.46;62.7;20.08;31.16;51.45;22.43;25.35;33.71;32.07;41.64;42.73;35.03;25.01;18.42;32.73;15;;26.38;55;43;61;;47;51;51;64;26;42;45;47;12;93.4;48.7;57;;30;44;51.3;;;
NO2;uur;µg/m³;20130116 04:00;20130116 05:00;57.1;52.3;46.6;67.2;55.8;58.6;;83.4;55.4;113.5;123.6;;46.35;42.87;40.61;46.5;43.62;;;43.18;37.26;51.72;45.15;52.39;47;47.81;50.56;42.2;49.76;21.89;56.67;;65.2;61.53;49.03;51.4;20.81;56.57;66.13;;57.09;10.64;40.25;;34.92;21.1;64.64;25.61;34.14;50.88;25.93;45.27;32.55;31.95;43.75;42.59;32.41;25.27;15.12;31.8;14;;26.99;55;43;69;47;46;51;52;64;32;40;48;45;17.5;129.5;48.8;54;;34;39;45.4;;;
NO2;uur;µg/m³;20130116 05:00;20130116 06:00;48.2;58.9;45.7;80.4;62;73.2;;89.5;56;125.6;126.6;;45.58;42.09;43.1;48.87;45.33;;;46.02;32.11;52.36;48.28;50.11;48;50.92;52.64;42.66;50.77;23.14;56.92;;70.96;82.66;51.2;58.92;15.42;56.04;74.13;;58.01;17.61;45.53;;35.14;20.28;56.04;40.28;47.88;62.81;42.85;48.69;33.11;28.85;39.56;44.85;32.53;23.81;14.49;30.75;12.98;;24.22;64;47;88;53;50;51;52;73;33;40;48;51;31.6;198.1;51.8;58;;30;37;43.9;;;
NO2;uur;µg/m³;20130116 06:00;20130116 07:00;56.2;65.8;62.2;91.3;66.9;82.8;;138;74.7;147.7;111.9;;44.72;40.61;46.8;50.25;48.23;;;48.32;36.31;58.68;56.27;54.21;55.31;55.61;51.25;45.34;55.47;32.36;62.84;;65.79;113.35;66.92;65.43;14.15;;97.52;;81.98;16.47;57.99;;40.14;23.13;59.41;54.43;64.34;92.04;50.21;51.3;36.05;31.93;53.93;46.5;33.33;32.54;23.51;33.21;15.08;;27.33;94;52;113;63;50;62;58;102;38;44;48;58;30.6;368.8;85.8;71;;33;45;49.4;;;
NO2;uur;µg/m³;20130116 07:00;20130116 08:00;60.4;91;71.7;106.2;60.2;80.7;;155.6;94;154.9;141.5;;44.6;40.4;45.38;53.12;48.07;;;53.68;32.61;58.27;66.78;61.03;61.12;54.31;63.48;49.7;56.68;23.94;65.06;;60.15;135.47;74.23;70.62;12.31;95.6;96.69;;95.05;22.71;75.89;;45.72;30.98;50.4;57.96;65.18;121.5;62.44;51.93;36.91;32.13;68.66;47.73;34.42;39.59;37.48;36.42;33.4;;26.49;127;66;152;78;54;74;69;111;45;46;57;67;26.1;596;177.8;89;;40;48;50.6;;;
NO2;uur;µg/m³;20130116 08:00;20130116 09:00;61.2;91.9;89.1;79.3;59.8;76.8;;196.3;142.5;177.7;158;;44.7;41.55;41.61;55.69;48.96;;;60.58;42.91;72.71;75.96;77.38;77.12;63.19;76.24;56.98;73.55;24.7;71.13;;81.1;176.65;83.96;116.01;10.93;73.04;123.46;;98.39;29.96;97.71;;51.13;31.33;52.56;62.37;69.57;105.94;71.9;54.1;36.42;33.97;75.94;49.65;34.92;34.22;40.35;35.84;35.92;;35.28;143;80;144;72;69;69;81;112;60;54;77;66;46.8;728.1;325.8;125;;42;62;49.2;;;
NO2;uur;µg/m³;20130116 09:00;20130116 10:00;100.9;95.4;94.9;71.7;64.6;72.5;;177.5;141.8;191.1;151.5;;39.06;34.78;41.31;53.03;46.99;;;62.75;48.63;73.01;73.73;77.07;80.42;68.16;74.24;51.92;69.08;21.71;60.19;;65.11;174.28;76.62;112.21;16.16;73.64;161.37;;104.05;34.37;112.71;;39.6;25.7;44.66;60.2;59.88;66.16;68.73;61.71;29.37;32.14;53.74;40.5;27.61;31.62;36.46;25.59;33.34;;29.09;162;75;160;79;61;76;71;97;67;74;74;78;59.4;838.4;439.3;127;;42;61;;;;
NO2;uur;µg/m³;20130116 10:00;20130116 11:00;104.8;84.8;94.4;76.7;65;55.9;;113.5;123.2;102.7;98.3;;37.25;27.07;40.79;46.01;41.12;;;60.2;39.04;62.63;64.14;60.25;60.93;57.91;69.03;55.8;60.88;21.34;65.76;;62.2;143.2;84.2;50.45;32.28;74.35;110.02;;91.25;12.42;69.89;;39.34;31;46.6;46.28;59.09;50.21;51.37;61.87;23.79;32.85;50.25;38.92;19.9;27.89;30.82;27.48;31.09;;29.76;97;67;115;85;51;67;56;71;64;83;70;70;116.2;525.2;597.6;112;;48;61;44.1;;;
NO2;uur;µg/m³;20130116 11:00;20130116 12:00;90.7;78.5;66.2;57.4;55.3;38.4;;78.3;87.7;87.3;92.5;;37.9;21.77;40.1;;40.94;;;58.47;46.88;54.15;49.24;39.55;50.74;37.33;67.5;52.47;52.7;22.31;49.33;;58.82;76.36;71.83;44.24;51.41;66.6;68.61;;109.83;15.22;48.48;;33.57;32.5;45.02;40.95;;32.72;41.36;56.74;23.15;27.44;50.89;36.36;17.07;27.93;29.99;25.25;27.54;;28.16;69;37;95;60;39;50;42;50;39;40;56;49;87.8;126.4;486.8;59;;45;43;45.8;;;
